candidates to enrich (name-deduped): 2199
[50/2199] enriched=21
[100/2199] enriched=47
[150/2199] enriched=71
[200/2199] enriched=101
[250/2199] enriched=128
[300/2199] enriched=154
[350/2199] enriched=178
[400/2199] enriched=206
[450/2199] enriched=226
[500/2199] enriched=251
[550/2199] enriched=268
[600/2199] enriched=292
[650/2199] enriched=318
[700/2199] enriched=349
[750/2199] enriched=378
[800/2199] enriched=405
[850/2199] enriched=435
[900/2199] enriched=461
[950/2199] enriched=489
[1000/2199] enriched=518
[1050/2199] enriched=545
[1100/2199] enriched=575
[1150/2199] enriched=602
[1200/2199] enriched=630
[1250/2199] enriched=657
[1300/2199] enriched=695
[1350/2199] enriched=728
[1400/2199] enriched=755
[1450/2199] enriched=789
[1500/2199] enriched=821
[1550/2199] enriched=843
[1600/2199] enriched=866
[1650/2199] enriched=890
[1700/2199] enriched=918
[1750/2199] enriched=947
[1800/2199] enriched=971
[1850/2199] enriched=993
[1900/2199] enriched=1021
[1950/2199] enriched=1051
[2000/2199] enriched=1072
[2050/2199] enriched=1101
[2100/2199] enriched=1127
[2150/2199] enriched=1159
[2199/2199] enriched=1184
ENRICHED (knowledge block, name-deduped): 1094
  of those, with phone: 1065
