[50/1568] total=444
[100/1568] total=865
[150/1568] total=1305
[200/1568] total=1721
[250/1568] total=2143
[300/1568] total=2534
[350/1568] total=2961
[400/1568] total=3403
[450/1568] total=3800
[500/1568] total=4190
[550/1568] total=4622
[600/1568] total=5075
[650/1568] total=5495
[700/1568] total=5902
[750/1568] total=6269
[800/1568] total=6669
[850/1568] total=7080
[900/1568] total=7515
[950/1568] total=7916
[1000/1568] total=8340
[1050/1568] total=8736
[1100/1568] total=9164
[1150/1568] total=9610
[1200/1568] total=10048
[1250/1568] total=10439
[1300/1568] total=10858
[1350/1568] total=11296
[1400/1568] total=11703
[1450/1568] total=12107
[1500/1568] total=12484
[1550/1568] total=12886
[1568/1568] total=12995
RAW CANDIDATES: 12995 -> /workspaces/ValdesAgency/memory/leads/.usa4/candidates.jsonl
cities: 392 | queries: 1568
